Sequence,Speaker,Utterance,Notes
2,"Speaker 2 (Christopher)","Nice to meet you, my name's Christopher.",""
3,"Speaker 1 (Aric Prather)","Hey Christopher.",""
4,"Speaker 1 (Aric Prather)","And how old are you?",""
5,"Speaker 2 (Christopher)","I'm ten.",""
6,"Speaker 1 (Aric Prather)","What grade is that?",""
7,"Speaker 2 (Christopher)","I think fifth.",""
8,"Speaker 1 (Aric Prather)","You think fifth?",""
9,"Speaker 1 (Aric Prather)","What is your favorite subject?",""
10,"Speaker 2 (Christopher)","Math and science.",""
11,"Speaker 1 (Aric Prather)","Well that's awesome, because we're going to be talking about science today.",""
12,"Speaker 2 (Christopher)","Cool.",""
13,"Speaker 1 (Aric Prather)","And you know what we're going to be talking about?",""
14,"Speaker 2 (Christopher)","What?",""
15,"Speaker 1 (Aric Prather)","Sleep.",""
16,"Speaker 2 (Christopher)","Favorite part of the day.",""
17,"Speaker 1 (Aric Prather)","Mine too, because I get to spend all day studying it.",""
18,"Speaker 1 (Aric Prather)","Because you know what sleep does for you?",""
19,"Speaker 2 (Christopher)","It rests your body, like an electric car.",""
20,"Speaker 1 (Aric Prather)","That's exactly right.",""
21,"Speaker 1 (Aric Prather)","It kinda is like recharging your battery, right?",""
22,"Speaker 1 (Aric Prather)","And sleep is so critical for so many parts of our body and our mind, right?",""
23,"Speaker 1 (Aric Prather)","It plays a really important way that we learn, and it helps us kind of recover from the day before.",""
24,"Speaker 1 (Aric Prather)","It affects our immune system and our metabolism, all of these things that we need to kinda be healthy.",""
25,"Speaker 2 (Christopher)","Whoa.",""
26,"Speaker 1 (Aric Prather)","So today, we're going to talk about some animals and how they sleep.",""
27,"Speaker 1 (Aric Prather)","So here's the first one.",""
28,"Speaker 1 (Aric Prather)","What's that?",""
29,"Speaker 2 (Christopher)","A giraffe.",""
30,"Speaker 1 (Aric Prather)","Have you ever seen a giraffe in person?",""
31,"Speaker 2 (Christopher)","Uh yeah.",""
32,"Speaker 1 (Aric Prather)","They're pretty cool, right?",""
33,"Speaker 2 (Christopher)","Mhm.",""
34,"Speaker 1 (Aric Prather)","And so what's really cool about this is that giraffes need to sleep like everybody else, and so the way that it does is it kind of slumps over and it gets down on its legs and it kind of becomes this ball, but what's crazy about the whole thing is they only sleep for like 30 minutes a day.",""
35,"Speaker 1 (Aric Prather)","30 minutes!",""
36,"Speaker 1 (Aric Prather)","Because it can't waste any more time, because it can't be vulnerable for any longer.",""
37,"Speaker 1 (Aric Prather)","It can get eaten by lions and that kind of thing.",""
